,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
RRRP3,RRRP3,ON NM,3R PETROLEUM ON NM,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",32.92,2023-08-31,26.73,50.51,175403000,7900300000,15205300000,2023-06-30,239985000,1651,150,1869,335,042,4764,-071,0.0%,1902,3596,93.7%,199,2189,35.3%,17.9%,20.5%,2.3%,2.5%,9.1%,108,155,013,18679400000,833250000,2297100000,8138210000,7304960000,5252820000,2357780000,422801000,478562000,836582000,117871000,77016000,,,,,,
ALSO3,ALSO3,ON,ALIANSCSONAE ON,Exploração de Imóveis,Exploração de Imóveis,22.77,2023-08-31,15.15,25.47,112594000,13068500000,11361600000,2023-06-30,573937000,408,089,1527,704,046,987,-137,2.3%,863,1328,38.1%,558,2557,68.1%,46.1%,177.4%,3.0%,3.2%,21.8%,187,-,007,28202200000,1706950000,2839730000,0,-1706950000,14673500000,1857090000,855736000,3204330000,650181000,277707000,152985000,,,,,,
ALPA4,ALPA4,PN N1,ALPARGATAS PN N1,"Tecidos, Vestuário e Calçados",Calçados,8.41,2023-08-31,7.02,23.60,58267900,5744550000,6681410000,2023-06-30,683062000,-2518,108,2610,143,074,327,1227,0.0%,1665,3036,2.0%,-033,777,42.2%,5.5%,-5.7%,2.8%,3.2%,-4.3%,250,025,052,7766710000,414288000,2923670000,1351150000,936861000,5309890000,4022150000,220108000,-228109000,926359000,-58996000,-52853000,,,,,,
ABEV3,ABEV3,ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,13.84,2023-08-31,12.86,16.03,372094000,218033000000,209595000000,2023-06-30,15753800000,1527,256,1338,264,164,107758,-1730,5.5%,942,1286,14.2%,091,540,49.9%,19.7%,17.8%,12.2%,15.8%,16.8%,101,005,062,133294000000,12430500000,34324100000,3992280000,-8438230000,85074600000,82710500000,16294300000,14278000000,18898100000,3174830000,2502970000,,,,,,
ARZZ3,ARZZ3,ON NM,AREZZO CO ON NM,Comércio,"Tecidos, Vestuário e Calçados",70.67,2023-08-31,58.96,102.67,121941000,7843590000,8189580000,2023-06-30,110989000,2120,282,1608,170,144,734,5533,2.2%,1188,1679,35.7%,333,2508,53.4%,10.6%,8.0%,9.0%,11.4%,13.3%,163,037,085,5435060000,682038000,2771140000,1028030000,345987000,2783100000,4605710000,487797000,369973000,1131020000,124657000,100626000,,,,,,
ASAI3,ASAI3,ON NM,ASSAI ON NM,Comércio e Distribuição,Alimentos,11.61,2023-08-31,10.50,21.03,255441000,15690500000,24314500000,2023-06-30,1351460000,1715,380,381,026,039,-583,-068,0.7%,454,590,44.6%,068,306,16.4%,6.8%,1.5%,10.3%,18.1%,22.1%,083,320,152,40102000000,4596000000,13058000000,13220000000,8624000000,4131000000,60866000000,4122000000,915000000,15984000000,1084000000,156000000,,,,,,
AZUL4,AZUL4,PN,AZUL PN,Transporte,Transporte Aéreo,14.49,2023-08-31,6.79,21.86,214164000,5043740000,26650800000,2023-06-30,348084000,-311,-026,226,029,029,-041,-016,0.0%,589,1193,15.8%,-466,-5654,19.6%,12.7%,-9.2%,13.0%,16.4%,8.2%,028,-113,103,17122000000,616210000,4628300000,22223200000,21607000000,-19682000000,17562800000,2234030000,-1621680000,4254190000,401726000,23908000,,,,,,
B3SA3,B3SA3,ON,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,12.93,2023-08-31,10.26,15.26,399526000,75239700000,72405300000,2023-06-30,5819000000,1802,366,1375,715,159,1214,-718,3.1%,1111,1323,18.0%,072,353,85.6%,52.0%,39.7%,11.6%,16.7%,20.3%,162,056,022,47177000000,14262700000,16141900000,11428300000,-2834400000,20540800000,10522000000,5473700000,4175070000,2477120000,1371260000,1052790000,,,,,,
BBSE3,BBSE3,ON NM,BBSEGURIDADE ON NM,Previdência e Seguros,Seguradoras,30.38,2023-08-31,23.96,34.19,158867000,60760000000,-,2023-06-30,2000000000,846,679,739,-,358,-,-,11.4%,-,-,-,359,447,-,-,0.0%,48.5%,-,80.3%,-,-,-,16980200000,0,0,0,0,8943940000,0,8226920000,7183900000,0,2115690000,1892170000,,,,,,
BBDC3,BBDC3,ON N1,BANCO BRADESCO S.A. ON N1,Intermediários Financeiros,Bancos,13.24,2023-08-31,11.06,16.61,65310700,140902000000,-,2023-06-30,10642200000,912,088,-,-,-,-,-,6.9%,-,-,-15.3%,145,1497,-,-,0.0%,0.0%,-,9.7%,-,-,-,1530030000000,,,,,159318000000,,,15445200000,,,4517230000,0,0,19018300000,21142200000,5083870000,5144040000
BBDC4,BBDC4,PN N1,BANCO BRADESCO S.A. PN N1,Intermediários Financeiros,Bancos,14.95,2023-08-31,12.38,20.28,542381000,159100000000,-,2023-06-30,10642200000,1030,100,-,-,-,-,-,6.8%,-,-,-15.3%,145,1497,-,-,0.0%,0.0%,-,9.7%,-,-,-,1530030000000,,,,,159318000000,,,15445200000,,,4517230000,0,0,19018300000,21142200000,5083870000,5144040000
BRAP4,BRAP4,PN N1,BRADESPAR S/A PN N1,Mineração,Minerais Metálicos,22.50,2023-08-31,19.21,31.21,66769000,8844680000,8585340000,2023-06-30,393097000,321,117,-43585,-,116,4326,4338,13.0%,-42307,-42307,-,701,1930,-,-,0.0%,-0.3%,-0.3%,36.3%,470,-,-,7641600000,259346000,259750000,0,-259346000,7585760000,0,-20293000,2754450000,0,-5149000,174862000,,,,,,
BBAS3,BBAS3,ON,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,47.10,2023-08-31,29.21,51.21,444721000,134961000000,-,2023-06-30,2865420000,408,086,-,-,-,-,-,9.6%,-,-,21.0%,1155,5486,-,-,0.0%,0.0%,-,21.0%,-,-,-,2124390000000,,,,,157200000000,,,33082700000,,,8327460000,0,0,52323800000,20971200000,13357200000,5239500000
BRKM5,BRKM5,PNA N1,BRASKEM PNA N1,Químicos,Petroquímicos,22.24,2023-08-31,16.64,37.60,92153100,17729900000,39683600000,2023-06-30,797208000,-522,245,-1193,022,020,158,-038,0.0%,1086,-2669,15.9%,-426,907,4.4%,-1.8%,-4.8%,-1.7%,-2.5%,-47.0%,149,519,093,88009200000,15580200000,34339100000,37533900000,21953700000,7232560000,81578800000,-1486760000,-3399620000,17756200000,-675560000,-770600000,,,,,,
BRFS3,BRFS3,ON NM,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados,9.04,2023-08-31,5.55,16.48,184971000,15209600000,31121500000,2023-06-30,1682470000,-444,166,11687,028,028,672,-073,0.0%,957,23914,17.0%,-204,544,15.1%,0.2%,-6.4%,0.2%,0.4%,-37.5%,110,260,100,54279200000,7921260000,23952600000,23833200000,15912000000,9152650000,54207600000,130142000,-3427720000,12205000000,-411346000,-1358910000,,,,,,
BPAC11,BPAC11,UNT,BTGP BANCO UNT,Intermediários Financeiros,Bancos,32.47,2023-08-31,18.10,33.73,284799000,124535000000,-,2023-06-30,11506100000,1481,267,-,-,-,-,-,2.3%,-,-,38.7%,219,1218,-,-,0.0%,0.0%,-,18.0%,-,-,-,390000000000,,,,,46708500000,,,8406420000,,,2441240000,50933600000,115000000000,9073000000,3538350000,3080000000,677805000
CRFB3,CRFB3,ON NM,CARREFOUR BR ON NM,Comércio e Distribuição,Alimentos,10.26,2023-08-31,8.77,21.30,121206000,21625700000,36846700000,2023-06-30,2107760000,5588,110,484,020,025,-1267,-079,3.4%,570,825,17.8%,018,931,19.2%,4.0%,0.5%,5.2%,6.7%,2.0%,096,109,128,86496000000,6213000000,38001000000,21434000000,15221000000,19625000000,110855000000,4468000000,387000000,27466000000,863000000,-249000000,,,,,,
CCRO3,CCRO3,ON NM,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,Transporte,Exploração de Rodovias,12.46,2023-08-31,10.03,14.29,110252000,25169200000,47609000000,2023-06-30,2020000000,1953,206,476,159,046,1121,-089,2.6%,683,901,15.9%,064,605,43.5%,33.4%,8.7%,9.7%,12.1%,10.5%,119,268,029,54690400000,10294600000,13796200000,32734400000,22439800000,12223600000,15793800000,5282690000,1288890000,3905140000,1267780000,270214000,,,,,,
CMIG4,CMIG4,PN N1,CEMIG PN N1,Energia Elétrica,Energia Elétrica,12.33,2023-08-31,9.55,12.86,104003000,27142900000,35248100000,2023-06-30,2201370000,410,115,344,076,050,795,-156,9.2%,387,446,11.8%,301,1072,23.8%,22.0%,18.5%,14.5%,16.3%,28.1%,134,050,066,54543100000,3725800000,13540400000,11831000000,8105240000,23609100000,35868400000,7899710000,6627360000,8819520000,1828940000,2642220000,,,,,,
CIEL3,CIEL3,ON NM,CIELO ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,3.72,2023-08-31,3.67,5.72,148140000,10106600000,16553300000,2023-06-30,2716820000,491,086,649,154,011,076,321,7.8%,810,1063,-10.1%,076,431,47.0%,23.7%,31.3%,1.6%,5.2%,17.6%,119,063,007,95865500000,951896000,84501500000,7398690000,6446790000,11697500000,6580900000,1556920000,2057640000,2642080000,816112000,708563000,,,,,,
